Std:Min:Sek;MSB A00;    ; ;MSB A01;    ; ;MSB A02;    ; ;MSB A03;    ; ;MSB A04;    ; ;MSB A05;    ; ;MSB A06;    ; ;MSB A07;    ; ;MSB A08;    ; ;MSB A09;    ; ;MSB A10;    ; ;MSB A11;    ; ;MSB A12;    ; ;MSB A13;    ; ;MSB A14;    ; ;MSB A15;    ; ;
000:00:08,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:08,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:09,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,3;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:09,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:10,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:10,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:11,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:11,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:12,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:12,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:13,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:13,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:14,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:14,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:15,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:15,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:16,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:16,5; 0004,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:17,0; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,5;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:17,5; 0005,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:18,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:18,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:19,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,2;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:19,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:20,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:20,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:21,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:21,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:22,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:22,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:23,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:23,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:24,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:24,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:25,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:25,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:26,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:26,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,2;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:27,0; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:27,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,1;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:28,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,6;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:28,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:29,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:29,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:30,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:30,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:31,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:31,5; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:32,0; 0006,0;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:32,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:33,0; 0005,8;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:33,5; 0005,6;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:34,0; 0005,3;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:34,5; 0005,7;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:35,0; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:35,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:36,0; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:36,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:37,0; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:37,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:38,0; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:38,5; 0005,9;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,7;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
